host,slug,status,rounds
aberdeen.calicotab.com,aberdeen23,success,5
aberdeen2024.calicotab.com,aberdeenopen25,success,8
aberdeenpreeudc26.calicotab.com,_,success,11
aberopen2023.calicotab.com,AberOpen2023,success,5
abp2020.calicotab.com,abp2020,success,13
abp2021.calicotab.com,abp2021,success,17
edudriftbackup.calicotab.com,abp2022,success,12
midp.calicotab.com,mabp2023,success,12
edudrift.calicotab.com,abp2024,success,12
iiumedc.calicotab.com,abp2025,success,12
abp2026.calicotab.com,abp2026,success,14
speechforces.calicotab.com,ao21,success,11
aoix.calicotab.com,ao2023,success,11
speechforces.calicotab.com,AOX,success,12
speechforces.calicotab.com,AO2025,failed: HTTPError: 401 Client Error: Unauthorized for url: https://speechforces.calicotab.com/api/v1/tournaments/AO2025/teams,
mace.calicotab.com,africaiv2022,success,10
mace.calicotab.com,africairongiant,success,6
mace.calicotab.com,africaiv2025,success,7
mace.calicotab.com,africaiv2026,success,7
inspired.calicotab.com,ALRR25,success,6
mace1996.calicotab.com,topuniversities2022,success,11
mace.calicotab.com,atudc2023,success,11
mace.calicotab.com,atudc2024,success,11
mace.calicotab.com,atudc2025,success,11
mace.calicotab.com,atudc2026,success,11
mace.calicotab.com,andl2021,success,11
mace.calicotab.com,andl2022,success,11
mace.calicotab.com,andl2023,success,11
mace.calicotab.com,andl2024,success,11
mace1996.calicotab.com,andl2025,success,12
akudc24.calicotab.com,akudc24,success,8
happybirthday.calicotab.com,agonia,failed: HTTPError: 401 Client Error: Unauthorized for url: https://happybirthday.calicotab.com/api/v1/tournaments/agonia/motions,
debatefoster.calicotab.com,agonia2024,"failed: ReadTimeout: HTTPSConnectionPool(host='debatefoster.calicotab.com', port=443): Read timed out. (read timeout=15)",
inspired.calicotab.com,Agonia2025,"failed: ConnectionError: HTTPSConnectionPool(host='inspired.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/Agonia2025/teams (Caused by NameResolutionError(""HTTPSConnection(host='inspired.calicotab.com', port=443): Failed to resolve 'inspired.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
albertaprewudc2026.calicotab.com,albertaprewudc2026,"failed: ConnectionError: HTTPSConnectionPool(host='albertaprewudc2026.calicotab.com', port=443): Max retries exceeded with url: /api/v1/tournaments/albertaprewudc2026/teams (Caused by NameResolutionError(""HTTPSConnection(host='albertaprewudc2026.calicotab.com', port=443): Failed to resolve 'albertaprewudc2026.calicotab.com' ([Errno 8] nodename nor servname provided, or not known)""))",
