motion_id,topic,source,confidence,classified_at
anu.calicotab.com:spring21:11970,Environment,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anu.calicotab.com:spring21:11971,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anu.calicotab.com:spring21:11973,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anu.calicotab.com:spring21:11975,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anu.calicotab.com:spring21:11976,,,,2026-09-26T13:52:04.780788+00:00
anu.calicotab.com:spring21:11977,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
spring2022.calicotab.com:_:21142,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
spring2022.calicotab.com:_:21143,,,,2026-09-26T13:52:04.780788+00:00
spring2022.calicotab.com:_:21144,,,,2026-09-26T13:52:04.780788+00:00
spring2022.calicotab.com:_:21145,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
spring2022.calicotab.com:_:21146,,,,2026-09-26T13:52:04.780788+00:00
spring2022.calicotab.com:_:21147,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
spring2022.calicotab.com:_:21148,,,,2026-09-26T13:52:04.780788+00:00
anuspring2023.calicotab.com:anuspring2023:36135,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuspring2023.calicotab.com:anuspring2023:36136,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuspring2023.calicotab.com:anuspring2023:36137,Media & Culture,model,0.834,2026-09-26T13:52:04.780788+00:00
anuspring2023.calicotab.com:anuspring2023:36138,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuspring2023.calicotab.com:anuspring2023:36139,,,,2026-09-26T13:52:04.780788+00:00
anuspring2023.calicotab.com:anuspring2023:36140,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuspring2025.calicotab.com:anuspring2025:67330,Social Policy & Welfare,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuspring2025.calicotab.com:anuspring2025:67342,,,,2026-09-26T13:52:04.780788+00:00
anuspring2025.calicotab.com:anuspring2025:67357,,,,2026-09-26T13:52:04.780788+00:00
anuspring2025.calicotab.com:anuspring2025:67511,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuspring2025.calicotab.com:anuspring2025:67533,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuwinter22.calicotab.com:anuwinter22:18169,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuwinter22.calicotab.com:anuwinter22:18170,Health,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuwinter22.calicotab.com:anuwinter22:18171,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuwinter22.calicotab.com:anuwinter22:18172,,,,2026-09-26T13:52:04.780788+00:00
anuwinter22.calicotab.com:anuwinter22:18173,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
anuwinter22.calicotab.com:anuwinter22:18174,Technology & Science,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aud.calicotab.com:audpreabp2026:81222,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aud.calicotab.com:audpreabp2026:81235,Politics & Governance,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aud.calicotab.com:audpreabp2026:81262,Technology & Science,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aud.calicotab.com:audpreabp2026:81287,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aud.calicotab.com:audpreabp2026:81335,,,,2026-09-26T13:52:04.780788+00:00
aberdeen2024.calicotab.com:aberdeenopen25:65676,,,,2026-09-26T13:52:04.780788+00:00
aberdeen2024.calicotab.com:aberdeenopen25:65694,,,,2026-09-26T13:52:04.780788+00:00
aberdeen2024.calicotab.com:aberdeenopen25:65714,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aberdeen2024.calicotab.com:aberdeenopen25:65791,,,,2026-09-26T13:52:04.780788+00:00
aberdeen2024.calicotab.com:aberdeenopen25:65814,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aberdeenpreeudc26.calicotab.com:_:83063,,,,2026-09-26T13:52:04.780788+00:00
aberdeenpreeudc26.calicotab.com:_:83091,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aberdeenpreeudc26.calicotab.com:_:83115,Media & Culture,model,0.47,2026-09-26T13:52:04.780788+00:00
aberdeenpreeudc26.calicotab.com:_:83126,International Relations,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aberdeenpreeudc26.calicotab.com:_:83219,,,,2026-09-26T13:52:04.780788+00:00
aberopen2023.calicotab.com:AberOpen2023:29653,Gender & Feminism,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aberopen2023.calicotab.com:AberOpen2023:29654,,,,2026-09-26T13:52:04.780788+00:00
aberopen2023.calicotab.com:AberOpen2023:29655,Environment,keyword,1.0,2026-09-26T13:52:04.780788+00:00
aberopen2023.calicotab.com:AberOpen2023:29656,,,,2026-09-26T13:52:04.780788+00:00
speechforces.calicotab.com:AOX:6986,,,,2026-09-26T13:52:04.780788+00:00
speechforces.calicotab.com:AOX:6985,Technology & Science,keyword,1.0,2026-09-26T13:52:04.780788+00:00
speechforces.calicotab.com:AOX:6984,,,,2026-09-26T13:52:04.780788+00:00
speechforces.calicotab.com:AOX:6983,International Relations,keyword,1.0,2026-09-26T13:52:04.780788+00:00
speechforces.calicotab.com:AOX:6982,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
speechforces.calicotab.com:AOX:6981,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
speechforces.calicotab.com:AOX:6980,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:africaiv2025:50503,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:africaiv2026:73432,Religion,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:africaiv2026:73646,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:africaiv2026:73645,Economics,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:africaiv2026:73683,,,,2026-09-26T13:52:04.780788+00:00
mace.calicotab.com:africaiv2026:73647,Media & Culture,model,0.375,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61593,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61603,,,,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61617,Environment,keyword,1.0,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61686,Military & Security,keyword,1.0,2026-09-26T13:52:04.780788+00:00
inspired.calicotab.com:ALRR25:61693,Law & Criminal Justice,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10602,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10601,Education,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10599,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10600,,,,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10598,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
mace1996.calicotab.com:topuniversities2022:10597,Media & Culture,keyword,1.0,2026-09-26T13:52:04.780788+00:00
