tournament,home_url,year,date,after_wudc,language,format,tournament_name,is_premier_regional_major,level,mode,region,country,source,std_ssheet_tab,is_ineligible,to_skip,comments,no_teams1,no_teams2,no_wbr_speakers,no_79.11plus_speakers,no_qual_speakers,pts_speaking,speaking_class,categories_ttab,categories_outs,category_info,no_adjs2,no_wbr_adjs,pts_judging,judging_class,no_adjcore,adjcore,speaking_achievements_comment,judging_achievements_comment,no_prelims,no_speakers1,no_speakers2
Afro APD 2026,https://sejake.calicotab.com/afro-apd-2026/,2026,,TRUE,English,AP,Afro APD,FALSE,University,,Africa,,self,,,,,80,67,0,2,1,147.3,S-D,['Schools'],"['Schools', 'Open']","{'Schools': {'is_highest_non_open_cat': True, 'no_wbr_speakers': np.int64(0), 'no_79.11plus_speakers': 0, 'no_qual_speakers': np.float64(0.0), 'no_teams2': 11, 'pts_speaking': np.float64(22.0), 'speaking_class': 'S-E'}}",55,0,55,J-D,4,,success,success,5,240,189
Ashoka PD 2025,https://ashokapd.calicotab.com/ashokapd2025/,2025,,TRUE,English,AP,Ashoka PD,FALSE,University,In person,Asia,India,public,,,,,115,112,0,0,0,38.0,S-E,['ESL'],[],{},20,0,20,J-E,3,,success,success,5,229,223
Ateneo DO Pre-UADC 2025,https://ado2025.calicotab.com/ado2025/,2025,,TRUE,English,AP,Ateneo DO Pre-UADC,FALSE,University,Online,Asia,Philippines,public,,,,,52,51,2,6,5,168.7,S-B,['Schools'],['Schools'],"{'Schools': {'is_highest_non_open_cat': True, 'no_wbr_speakers': np.int64(0), 'no_79.11plus_speakers': 0, 'no_qual_speakers': np.float64(0.0), 'no_teams2': 22, 'pts_speaking': np.float64(44.0), 'speaking_class': 'S-E'}}",34,0,34,J-E,4,,success,success,5,157,149
Bangalore Pre-UADC 2026,https://bangalorepreuadc26.calicotab.com/bangalorepd26/,2026,,TRUE,English,AP,Bangalore Pre-UADC,FALSE,University,Online,Asia,India,public,,,,,23,22,0,0,0,42.0,S-E,['Novice'],"['Open', 'Novice']","{'Novice': {'is_highest_non_open_cat': True, 'no_wbr_speakers': np.int64(0), 'no_79.11plus_speakers': 0, 'no_qual_speakers': np.float64(0.0), 'no_teams2': 7, 'pts_speaking': np.float64(14.0), 'speaking_class': 'S-E'}}",29,1,47,J-C,4,,success,success,4,69,64
BHU Vaagyudh AP 2024,https://vaagyudh2024.calicotab.com/vaagyudh2024/,2024,,TRUE,English,AP,BHU Vaagyudh AP,FALSE,University,,Asia,,self,,,,,48,44,0,0,0,88.0,S-D,['NOVICE'],"['NOVICE', 'Open']","{'NOVICE': {'is_highest_non_open_cat': True, 'no_wbr_speakers': np.int64(0), 'no_79.11plus_speakers': 0, 'no_qual_speakers': np.float64(0.0), 'no_teams2': 27, 'pts_speaking': np.float64(54.0), 'speaking_class': 'S-E'}}",45,0,45,J-D,2,,success,success,4,143,131
Bicol IV (8th) 2024,https://8thbiv.calicotab.com/biv24/,2024,,TRUE,English,AP,Bicol IV,FALSE,University,,Asia,Philippines,self,,,,,57,56,3,1,3.5,158.7,S-C,['High School'],['High School'],"{'High School': {'is_highest_non_open_cat': True, 'no_wbr_speakers': np.int64(1), 'no_79.11plus_speakers': 0, 'no_qual_speakers': np.float64(1.0), 'no_teams2': 25, 'pts_speaking': np.float64(63.333333333333336), 'speaking_class': 'S-D'}}",44,0,44,J-E,3,,success,success,5,171,168
BITS Pilani Niqash 2022,https://bitspilanipd.calicotab.com/niqash-22/,2022,,TRUE,English,AP,BITS Pilani Niqash,FALSE,University,Online,Asia,India,public,,,,,50,47,0,0,0,94.0,S-D,[],[],{},41,0,41,J-E,4,,success,success,5,149,139
BITS Pilani QED 2023,https://bitsqed2023.calicotab.com/qed23/,2023,,TRUE,English,AP,BITS Pilani QED,FALSE,University,Online,Asia,India,public,,,,,88,82,0,0,0,164.0,S-D,[],[],{},105,0,105,J-D,4,,success,success,5,263,245
Borneo AP DC 2026,https://borneodebate.calicotab.com/bapdc2026/,2026,,TRUE,English,AP,Borneo AP DC,FALSE,University,Online,Asia,,public,,,,,54,51,4,0,4,155.3,S-C,['School'],"['Open', 'School']","{'School': {'is_highest_non_open_cat': True, 'no_wbr_speakers': np.int64(0), 'no_79.11plus_speakers': 0, 'no_qual_speakers': np.float64(0.0), 'no_teams2': 30, 'pts_speaking': np.float64(60.0), 'speaking_class': 'S-D'}}",33,1,51,J-C,4,,success,success,4,162,153
Brahmaputra Open 2026,https://brahmaputraopen2026.calicotab.com/brahmaputra2026/,2026,2026-05-16,TRUE,English,AP,Brahmaputra Open,FALSE,University,,Asia,India,self,,,,,33,30,0,0,0,60.0,S-D,[],['Open'],{},41,0,41,J-E,3,,success,success,4,98,90
Calcutta Open 2025,https://calopen25.calicotab.com/kolkatadebates25/,2025,2025-09-20,TRUE,English,AP,Calcutta Open,FALSE,University,Online,Asia,India,self,,,,,55,54,0,0,0,108.0,S-D,['Novice'],['Novice'],"{'Novice': {'is_highest_non_open_cat': True, 'no_wbr_speakers': np.int64(0), 'no_79.11plus_speakers': 0, 'no_qual_speakers': np.float64(0.0), 'no_teams2': 25, 'pts_speaking': np.float64(50.0), 'speaking_class': 'S-E'}}",59,0,59,J-D,4,,success,success,4,165,161
