tournament,home_url,host,slug,status,api_url
Aberdeen Open 2023,https://aberdeen.calicotab.com/aberdeen23/,aberdeen.calicotab.com,aberdeen23,viable,https://aberdeen.calicotab.com/api/v1/tournaments/aberdeen23
Aberdeen Open 2025,https://aberdeen2024.calicotab.com/aberdeenopen25/,aberdeen2024.calicotab.com,aberdeenopen25,viable,https://aberdeen2024.calicotab.com/api/v1/tournaments/aberdeenopen25
Aberdeen Pre-EUDC 2026,https://aberdeenpreeudc26.calicotab.com/_/,aberdeenpreeudc26.calicotab.com,_,viable,https://aberdeenpreeudc26.calicotab.com/api/v1/tournaments/_
Aberystwyth Open 2023,https://aberopen2023.calicotab.com/AberOpen2023/,aberopen2023.calicotab.com,AberOpen2023,viable,https://aberopen2023.calicotab.com/api/v1/tournaments/AberOpen2023
Malaysia ABP 2020,https://abp2020.calicotab.com/abp2020/,abp2020.calicotab.com,abp2020,viable,https://abp2020.calicotab.com/api/v1/tournaments/abp2020
Hanoi ABP 2021,https://abp2021.calicotab.com/abp2021/,abp2021.calicotab.com,abp2021,viable,https://abp2021.calicotab.com/api/v1/tournaments/abp2021
Bali ABP 2022,https://edudriftbackup.calicotab.com/abp2022/,edudriftbackup.calicotab.com,abp2022,viable,https://edudriftbackup.calicotab.com/api/v1/tournaments/abp2022
Malaysia ABP 2023,https://midp.calicotab.com/mabp2023/,midp.calicotab.com,mabp2023,viable,https://midp.calicotab.com/api/v1/tournaments/mabp2023
Krabi ABP 2024,https://edudrift.calicotab.com/abp2024/,edudrift.calicotab.com,abp2024,viable,https://edudrift.calicotab.com/api/v1/tournaments/abp2024
Kuantan ABP 2025,https://iiumedc.calicotab.com/abp2025/,iiumedc.calicotab.com,abp2025,viable,https://iiumedc.calicotab.com/api/v1/tournaments/abp2025
Hanoi ABP 2026,https://abp2026.calicotab.com/abp2026/,abp2026.calicotab.com,abp2026,viable,https://abp2026.calicotab.com/api/v1/tournaments/abp2026
Accra Open 2021,https://speechforces.calicotab.com/ao21/,speechforces.calicotab.com,ao21,viable,https://speechforces.calicotab.com/api/v1/tournaments/ao21
Accra Open 2023,https://aoix.calicotab.com/ao2023/,aoix.calicotab.com,ao2023,viable,https://aoix.calicotab.com/api/v1/tournaments/ao2023
Accra Open 2024,https://speechforces.calicotab.com/AOX/,speechforces.calicotab.com,AOX,viable,https://speechforces.calicotab.com/api/v1/tournaments/AOX
Accra Open 2025,https://speechforces.calicotab.com/AO2025/,speechforces.calicotab.com,AO2025,viable,https://speechforces.calicotab.com/api/v1/tournaments/AO2025
Africa Intercollegiate DC 2022,https://mace.calicotab.com/africaiv2022/,mace.calicotab.com,africaiv2022,viable,https://mace.calicotab.com/api/v1/tournaments/africaiv2022
Africa Iron Giant 2022,https://mace.calicotab.com/africairongiant/,mace.calicotab.com,africairongiant,viable,https://mace.calicotab.com/api/v1/tournaments/africairongiant
Africa IV 2025,https://mace.calicotab.com/africaiv2025/,mace.calicotab.com,africaiv2025,viable,https://mace.calicotab.com/api/v1/tournaments/africaiv2025
Africa IV 2026,https://mace.calicotab.com/africaiv2026/,mace.calicotab.com,africaiv2026,viable,https://mace.calicotab.com/api/v1/tournaments/africaiv2026
Africa Legends RR 2025,https://inspired.calicotab.com/ALRR25/,inspired.calicotab.com,ALRR25,viable,https://inspired.calicotab.com/api/v1/tournaments/ALRR25
Africa Top UDC 2022,https://mace1996.calicotab.com/topuniversities2022/,mace1996.calicotab.com,topuniversities2022,viable,https://mace1996.calicotab.com/api/v1/tournaments/topuniversities2022
Africa Top UDC 2023,https://mace.calicotab.com/atudc2023/,mace.calicotab.com,atudc2023,viable,https://mace.calicotab.com/api/v1/tournaments/atudc2023
Africa Top UDC 2024,https://mace.calicotab.com/atudc2024/,mace.calicotab.com,atudc2024,viable,https://mace.calicotab.com/api/v1/tournaments/atudc2024
Africa Top UDC 2025,https://mace.calicotab.com/atudc2025/,mace.calicotab.com,atudc2025,viable,https://mace.calicotab.com/api/v1/tournaments/atudc2025
Africa Top UDC 2026,https://mace.calicotab.com/atudc2026/,mace.calicotab.com,atudc2026,viable,https://mace.calicotab.com/api/v1/tournaments/atudc2026
African Nations DL 2021,https://mace.calicotab.com/andl2021/,mace.calicotab.com,andl2021,viable,https://mace.calicotab.com/api/v1/tournaments/andl2021
African Nations DL 2022,https://mace.calicotab.com/andl2022/,mace.calicotab.com,andl2022,viable,https://mace.calicotab.com/api/v1/tournaments/andl2022
African Nations DL 2023,https://mace.calicotab.com/andl2023/,mace.calicotab.com,andl2023,viable,https://mace.calicotab.com/api/v1/tournaments/andl2023
African Nations DL 2024,https://mace.calicotab.com/andl2024/,mace.calicotab.com,andl2024,viable,https://mace.calicotab.com/api/v1/tournaments/andl2024
African Nations DL 2025,https://mace1996.calicotab.com/andl2025/,mace1996.calicotab.com,andl2025,viable,https://mace1996.calicotab.com/api/v1/tournaments/andl2025
Agha Khan UDC 2024,https://akudc24.calicotab.com/akudc24/,akudc24.calicotab.com,akudc24,viable,https://akudc24.calicotab.com/api/v1/tournaments/akudc24
Agonia (2.0) 2023,https://happybirthday.calicotab.com/agonia/,happybirthday.calicotab.com,agonia,viable,https://happybirthday.calicotab.com/api/v1/tournaments/agonia
Agonia (3.0) 2024,https://debatefoster.calicotab.com/agonia2024/,debatefoster.calicotab.com,agonia2024,viable,https://debatefoster.calicotab.com/api/v1/tournaments/agonia2024
Agonia (4.0) 2025,https://inspired.calicotab.com/Agonia2025/,inspired.calicotab.com,Agonia2025,viable,https://inspired.calicotab.com/api/v1/tournaments/Agonia2025
Alberta Pre-WUDC 2026,https://albertaprewudc2026.calicotab.com/albertaprewudc2026/,albertaprewudc2026.calicotab.com,albertaprewudc2026,viable,https://albertaprewudc2026.calicotab.com/api/v1/tournaments/albertaprewudc2026
All Nigerian UDC 2022,https://anudc.calicotab.com/nationals2022/,anudc.calicotab.com,nationals2022,http_404,https://anudc.calicotab.com/api/v1/tournaments/nationals2022
All Nigerian UDC 2023,https://mascot10.calicotab.com/ANUDC2023/,mascot10.calicotab.com,ANUDC2023,viable,https://mascot10.calicotab.com/api/v1/tournaments/ANUDC2023
All Nigerian UDC 2024,https://anudc.calicotab.com/anudc2024/,anudc.calicotab.com,anudc2024,viable,https://anudc.calicotab.com/api/v1/tournaments/anudc2024
All Nigerian UDC 2025,https://anudc.calicotab.com/anudc2025/,anudc.calicotab.com,anudc2025,viable,https://anudc.calicotab.com/api/v1/tournaments/anudc2025
All Nigerian Youths DC 2023,https://anydc2023.calicotab.com/ANYDC2023/,anydc2023.calicotab.com,ANYDC2023,viable,https://anydc2023.calicotab.com/api/v1/tournaments/ANYDC2023
All Nigerian Youths DC 2024,https://mascot10.calicotab.com/anydc2024/,mascot10.calicotab.com,anydc2024,viable,https://mascot10.calicotab.com/api/v1/tournaments/anydc2024
All Nigerian Youths DC 2025,https://debaterverse.calicotab.com/ANYDC2025/,debaterverse.calicotab.com,ANYDC2025,error:ReadTimeout,https://debaterverse.calicotab.com/api/v1/tournaments/ANYDC2025
Amsterdam Open 2023,https://amsterdamopen.calicotab.com/AmsterdamOpen2023/,amsterdamopen.calicotab.com,AmsterdamOpen2023,viable,https://amsterdamopen.calicotab.com/api/v1/tournaments/AmsterdamOpen2023
Amsterdam Open 2024,https://ao2024.calicotab.com/AO24/,ao2024.calicotab.com,AO24,viable,https://ao2024.calicotab.com/api/v1/tournaments/AO24
Amsterdam Open 2025,https://amsterdamopen2025.calicotab.com/amsterdamopen2025/,amsterdamopen2025.calicotab.com,amsterdamopen2025,viable,https://amsterdamopen2025.calicotab.com/api/v1/tournaments/amsterdamopen2025
Amsterdam Pre-EUDC 2026,https://amsterdampre2026.calicotab.com/amsterdampre2026/,amsterdampre2026.calicotab.com,amsterdampre2026,viable,https://amsterdampre2026.calicotab.com/api/v1/tournaments/amsterdampre2026
ANU Spring 2021,https://anu.calicotab.com/spring21/,anu.calicotab.com,spring21,viable,https://anu.calicotab.com/api/v1/tournaments/spring21
ANU Spring 2022,https://spring2022.calicotab.com/_/,spring2022.calicotab.com,_,viable,https://spring2022.calicotab.com/api/v1/tournaments/_
ANU Spring 2023,https://anuspring2023.calicotab.com/anuspring2023/,anuspring2023.calicotab.com,anuspring2023,viable,https://anuspring2023.calicotab.com/api/v1/tournaments/anuspring2023
ANU Spring 2024,https://anuspring2024.calicotab.com/ANUSpring2024/,anuspring2024.calicotab.com,ANUSpring2024,viable,https://anuspring2024.calicotab.com/api/v1/tournaments/ANUSpring2024
ANU Spring 2025,https://anuspring2025.calicotab.com/anuspring2025/,anuspring2025.calicotab.com,anuspring2025,viable,https://anuspring2025.calicotab.com/api/v1/tournaments/anuspring2025
ANU Winter 2022,https://anuwinter22.calicotab.com/anuwinter22/,anuwinter22.calicotab.com,anuwinter22,viable,https://anuwinter22.calicotab.com/api/v1/tournaments/anuwinter22
Asia E-Debate 2021,https://midp.calicotab.com/aedc2021/,midp.calicotab.com,aedc2021,viable,https://midp.calicotab.com/api/v1/tournaments/aedc2021
Asia Pro Ams 2020,https://Midp.calicotab.com/apad2020/,Midp.calicotab.com,apad2020,viable,https://Midp.calicotab.com/api/v1/tournaments/apad2020
Asian ODC BP 2022,https://aodcbp22.calicotab.com/aodcbp22/,aodcbp22.calicotab.com,aodcbp22,viable,https://aodcbp22.calicotab.com/api/v1/tournaments/aodcbp22
Asian ODC BP 2023,https://aodcbp2023.calicotab.com/aodcbp23/,aodcbp2023.calicotab.com,aodcbp23,viable,https://aodcbp2023.calicotab.com/api/v1/tournaments/aodcbp23
Asian U for Women IV 2026,https://auw.calicotab.com/auwiv2026/,auw.calicotab.com,auwiv2026,viable,https://auw.calicotab.com/api/v1/tournaments/auwiv2026
Astana Open 2021,https://astanaopen2021.calicotab.com/ao2021/,astanaopen2021.calicotab.com,ao2021,viable,https://astanaopen2021.calicotab.com/api/v1/tournaments/ao2021
Astana Open 2023,https://astanaopen.calicotab.com/_/,astanaopen.calicotab.com,_,viable,https://astanaopen.calicotab.com/api/v1/tournaments/_
Ateneo IV 2023,https://ateneoiv2023.calicotab.com/aiv2023/,ateneoiv2023.calicotab.com,aiv2023,viable,https://ateneoiv2023.calicotab.com/api/v1/tournaments/aiv2023
Ateneo IV Pre-Worlds 2023,https://aivpreworlds2023.calicotab.com/aivpw2023/,aivpreworlds2023.calicotab.com,aivpw2023,viable,https://aivpreworlds2023.calicotab.com/api/v1/tournaments/aivpw2023
Athena 2024,https://athena2024.calicotab.com/athena24/,athena2024.calicotab.com,athena24,viable,https://athena2024.calicotab.com/api/v1/tournaments/athena24
Athens Debate Academy 2025,https://hdf.calicotab.com/academy2025/,hdf.calicotab.com,academy2025,viable,https://hdf.calicotab.com/api/v1/tournaments/academy2025
Athens IV 2024,https://athensiv2024.calicotab.com/athensiv2024/,athensiv2024.calicotab.com,athensiv2024,viable,https://athensiv2024.calicotab.com/api/v1/tournaments/athensiv2024
Athens IV 2025,https://athensiv2025.calicotab.com/_/,athensiv2025.calicotab.com,_,viable,https://athensiv2025.calicotab.com/api/v1/tournaments/_
Auckland IV 2024,https://aucklandiv24.calicotab.com/aucklandiv24/,aucklandiv24.calicotab.com,aucklandiv24,viable,https://aucklandiv24.calicotab.com/api/v1/tournaments/aucklandiv24
AUD (Ambedkar) Pre-ABP 2026,https://aud.calicotab.com/audpreabp2026/,aud.calicotab.com,audpreabp2026,viable,https://aud.calicotab.com/api/v1/tournaments/audpreabp2026
Aurgumentum Open 2024,https://aurgumentum.au-tab.app/open2024/tab/speaker/,aurgumentum.au-tab.app,open2024,viable,https://aurgumentum.au-tab.app/api/v1/tournaments/open2024
Aurgumentum Pro-Am 2024,https://aurgumentum.au-tab.app/proams2024/,aurgumentum.au-tab.app,proams2024,viable,https://aurgumentum.au-tab.app/api/v1/tournaments/proams2024
Aurgumentum x Dipo Open 2025,https://dipo2025.au-tab.app/en/,dipo2025.au-tab.app,en,viable,https://dipo2025.au-tab.app/api/v1/tournaments/en
Australian BPDC 2022,https://usutabs2022.calicotab.com/abpdc2022/,usutabs2022.calicotab.com,abpdc2022,viable,https://usutabs2022.calicotab.com/api/v1/tournaments/abpdc2022
Australian BPDC 2023,https://abpdc2023.calicotab.com/abpdc2023/,abpdc2023.calicotab.com,abpdc2023,viable,https://abpdc2023.calicotab.com/api/v1/tournaments/abpdc2023
Australian BPDC 2024,https://abpdc2024.calicotab.com/abpdc2024/,abpdc2024.calicotab.com,abpdc2024,viable,https://abpdc2024.calicotab.com/api/v1/tournaments/abpdc2024
Australian BPDC 2025,https://abpdc25.calicotab.com/abpdc2025/,abpdc25.calicotab.com,abpdc2025,viable,https://abpdc25.calicotab.com/api/v1/tournaments/abpdc2025
BAC (Brickfields Asia) DO 2023,https://bacdebateclub2023.calicotab.com/bacdo23/,bacdebateclub2023.calicotab.com,bacdo23,viable,https://bacdebateclub2023.calicotab.com/api/v1/tournaments/bacdo23
Baltic BP Open 2023,https://sserigadebating.calicotab.com/balticopen2023/,sserigadebating.calicotab.com,balticopen2023,viable,https://sserigadebating.calicotab.com/api/v1/tournaments/balticopen2023
Baltic IV 2024,https://balticiv24.calicotab.com/balticiv24/,balticiv24.calicotab.com,balticiv24,viable,https://balticiv24.calicotab.com/api/v1/tournaments/balticiv24
Baltic IV 2025,https://balticiv25.calicotab.com/balticiv25/,balticiv25.calicotab.com,balticiv25,viable,https://balticiv25.calicotab.com/api/v1/tournaments/balticiv25
Baltic IV 2026,https://balticiv.calicotab.com/BIV/,balticiv.calicotab.com,BIV,viable,https://balticiv.calicotab.com/api/v1/tournaments/BIV
Bangladesh DC Fundraiser 2025,https://bdc.calicotab.com/BDCFundraiser2025/,bdc.calicotab.com,BDCFundraiser2025,viable,https://bdc.calicotab.com/api/v1/tournaments/BDCFundraiser2025
